epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7472527623176575,0.8218846321105957,9.999999747378752e-06,0.5672454833984375,0.8942598104476929,0.7418546080589294,0.8333333134651184,0.9302423000335693,0.45277154445648193,0.9399999976158142,0.8245614171028137
1,0.7600732445716858,0.8305457830429077,9.999999747378752e-06,0.5621408224105835,0.901197612285614,0.7543859481811523,0.8205128312110901,0.9356725215911865,0.46436914801597595,0.957446813583374,0.7894737124443054
2,0.7582417726516724,0.8359163403511047,9.999999747378752e-06,0.5544708371162415,0.9082568883895874,0.7443609237670898,0.807692289352417,0.9365079402923584,0.4770178198814392,0.95652174949646,0.7719298005104065
3,0.7728937864303589,0.849675178527832,9.999999747378752e-06,0.5356982946395874,0.8917378783226013,0.7844611406326294,0.7948718070983887,0.9373433589935303,0.4856051504611969,0.9555555582046509,0.7543859481811523
4,0.7655677795410156,0.856128454208374,4.999999873689376e-06,0.5309694409370422,0.904477596282959,0.7593985199928284,0.7948718070983887,0.9377610683441162,0.4847109019756317,0.9555555582046509,0.7543859481811523
5,0.7234432101249695,0.829787015914917,4.999999873689376e-06,0.563718318939209,0.8850931525230408,0.7142857313156128,0.807692289352417,0.9369256496429443,0.4846605062484741,0.95652174949646,0.7719298005104065
6,0.7875458002090454,0.8537585735321045,4.999999873689376e-06,0.5365282893180847,0.9054441452026367,0.791979968547821,0.807692289352417,0.9356725215911865,0.4850061237812042,0.95652174949646,0.7719298005104065
7,0.7710622549057007,0.8506214618682861,2.499999936844688e-06,0.5373046398162842,0.910179615020752,0.761904776096344,0.807692289352417,0.9369256496429443,0.4805164933204651,0.95652174949646,0.7719298005104065
8,0.791208803653717,0.880585789680481,2.499999936844688e-06,0.4937496483325958,0.9130434989929199,0.7894737124443054,0.807692289352417,0.9369256496429443,0.4759378731250763,0.95652174949646,0.7719298005104065
9,0.7820512652397156,0.8668525218963623,2.499999936844688e-06,0.5055955052375793,0.8999999761581421,0.7894737124443054,0.807692289352417,0.9360902309417725,0.47374001145362854,0.95652174949646,0.7719298005104065
10,0.7802197933197021,0.8602714538574219,1.249999968422344e-06,0.5305806994438171,0.9115044474601746,0.7744361162185669,0.8205128312110901,0.9369256496429443,0.46953073143959045,0.957446813583374,0.7894737124443054
11,0.7564102411270142,0.8541933298110962,1.249999968422344e-06,0.5293010473251343,0.8958333134651184,0.7543859481811523,0.8205128312110901,0.937343418598175,0.46425148844718933,0.957446813583374,0.7894737124443054
